ID|LATITUDE|LONGITUDE|STATE|EPIDEMIC
1989|21.161|-86.853|Quintana_Roo|0
1012|21.162|-100.929|Guanajuato|0
3091|21.163|-102.472|Jalisco|1
1498|21.164|-86.879|Quintana_Roo|0
932|21.164|-86.823|Quintana_Roo|0
296|21.166|-101.728|Guanajuato|0
3492|21.166|-101.692|Guanajuato|0
1991|21.171|-86.86|Quintana_Roo|0
911|21.172|-101.661|Guanajuato|0
1994|21.173|-86.842|Quintana_Roo|0
425|21.174|-101.71|Guanajuato|0
2172|21.175|-86.82|Quintana_Roo|0
2392|21.177|-86.874|Quintana_Roo|0
3073|21.177|-86.828|Quintana_Roo|0
1520|21.179|-101.651|Guanajuato|0
2614|21.183|-86.857|Quintana_Roo|0
2629|21.184|-89.65|Yucatan|0
2156|21.186|-86.836|Quintana_Roo|0
1229|21.188|-101.718|Guanajuato|0
2307|21.188|-86.852|Quintana_Roo|0
297|21.19|-101.665|Guanajuato|0
2315|21.191|-86.821|Quintana_Roo|0
3108|21.196|-86.847|Quintana_Roo|0
2622|21.211|-104.593|Nayarit|0
978|21.22|-100.526|Guanajuato|0
3460|21.235|-86.731|Quintana_Roo|0
264|21.236|-102.338|Jalisco|1
2846|21.25|-86.742|Quintana_Roo|0
2772|21.252|-89.813|Yucatan|0
3050|21.257|-86.747|Quintana_Roo|0
3603|21.26|-101.799|Jalisco|1
3064|21.269|-89.746|Yucatan|0
3027|21.277|-89.662|Yucatan|0
65|21.279|-89.684|Yucatan|0
2221|21.28|-101.837|Jalisco|1
40|21.287|-89.656|Yucatan|0
504|21.292|-89.606|Yucatan|0
112|21.294|-102.147|Jalisco|1
748|21.298|-89.568|Yucatan|0
2916|21.302|-100.519|Guanajuato|0
2679|21.318|-89.461|Yucatan|0
1761|21.326|-104.663|Nayarit|0
233|21.327|-101.644|Guanajuato|0
265|21.354|-101.932|Jalisco|1
198|21.357|-101.952|Jalisco|1
3493|21.381|-102.144|Jalisco|1
1238|21.447|-104.974|Nayarit|0
1764|21.447|-104.812|Nayarit|0
1241|21.45|-104.899|Nayarit|0
1824|21.459|-100.785|Guanajuato|0
1158|21.47|-104.854|Nayarit|0
1159|21.475|-104.883|Nayarit|0
3448|21.475|-102.041|Jalisco|1
2269|21.48|-101.213|Guanajuato|0
841|21.486|-104.886|Nayarit|0
2736|21.494|-104.827|Nayarit|0
1221|21.496|-104.902|Nayarit|0
1670|21.502|-104.865|Nayarit|0
1074|21.503|-104.894|Nayarit|0
693|21.511|-104.891|Nayarit|0
1979|21.521|-104.919|Nayarit|0
248|21.523|-104.886|Nayarit|0
2236|21.527|-102.237|Jalisco|1
167|21.533|-104.91|Nayarit|0
694|21.535|-104.874|Nayarit|0
1240|21.542|-104.9|Nayarit|0
1239|21.555|-104.962|Nayarit|0
2998|21.582|-101.361|Guanajuato|0
2249|21.616|-102.275|Jalisco|1
2237|21.66|-102.227|Aguascalientes|0
1821|21.695|-100.684|San_Luis_Potosi|0
2012|21.7|-102.31|Aguascalientes|0
2238|21.731|-102.275|Aguascalientes|0
2013|21.806|-105.347|Nayarit|0
2014|21.81|-105.203|Nayarit|0
1627|21.823|-102.287|Aguascalientes|0
1431|21.843|-102.292|Aguascalientes|0
972|21.855|-102.258|Aguascalientes|0
2310|21.856|-102.352|Aguascalientes|0
1655|21.858|-102.713|Aguascalientes|0
2311|21.86|-102.34|Aguascalientes|0
4387|21.86|-102.321|Aguascalientes|0
1626|21.861|-102.226|Aguascalientes|0
1430|21.862|-102.304|Aguascalientes|0
931|21.867|-102.285|Aguascalientes|0
3735|21.871|-102.31|Aguascalientes|0
971|21.872|-102.328|Aguascalientes|0
970|21.872|-102.271|Aguascalientes|0
1055|21.875|-102.306|Aguascalientes|0
2002|21.875|-102.296|Aguascalientes|0
3986|21.877|-102.301|Aguascalientes|0
3463|21.878|-102.304|Aguascalientes|0
2575|21.878|-101.615|Jalisco|1
3565|21.882|-102.296|Aguascalientes|0
1798|21.882|-102.249|Aguascalientes|0
1522|21.884|-102.292|Aguascalientes|0
574|21.884|-102.27|Aguascalientes|0
3773|21.888|-102.296|Aguascalientes|0
1429|21.894|-102.311|Aguascalientes|0
1056|21.9|-102.254|Aguascalientes|0
1054|21.91|-102.288|Aguascalientes|0
1656|21.915|-102.643|Aguascalientes|0
575|21.915|-102.304|Aguascalientes|0
973|21.924|-102.292|Aguascalientes|0
1266|21.926|-102.318|Aguascalientes|0
2026|21.931|-99.996|San_Luis_Potosi|0
2961|21.932|-105.213|Nayarit|0
109|21.963|-102.341|Aguascalientes|0
1428|21.963|-102.288|Aguascalientes|0
1164|21.981|-98.915|San_Luis_Potosi|0
596|21.987|-99.011|San_Luis_Potosi|0
110|22.037|-102.27|Aguascalientes|0
2327|22.051|-100.864|San_Luis_Potosi|0
2578|22.065|-100.649|San_Luis_Potosi|0
1791|22.071|-102.272|Aguascalientes|0
2356|22.071|-101.14|San_Luis_Potosi|0
2185|22.074|-100.885|San_Luis_Potosi|0
2543|22.108|-100.959|San_Luis_Potosi|0
2119|22.113|-100.896|San_Luis_Potosi|0
3471|22.117|-105.215|Nayarit|0
1450|22.121|-101.026|San_Luis_Potosi|0
2262|22.123|-100.92|San_Luis_Potosi|0
554|22.124|-100.971|San_Luis_Potosi|0
1864|22.124|-100.935|San_Luis_Potosi|0
866|22.126|-101.022|San_Luis_Potosi|0
1862|22.126|-100.946|San_Luis_Potosi|0
1163|22.128|-101.033|San_Luis_Potosi|0
2263|22.132|-100.906|San_Luis_Potosi|0
2376|22.133|-101.038|San_Luis_Potosi|0
1165|22.135|-101.027|San_Luis_Potosi|0
2896|22.137|-100.981|San_Luis_Potosi|0
557|22.14|-100.993|San_Luis_Potosi|0
1248|22.142|-101.019|San_Luis_Potosi|0
1822|22.144|-100.924|San_Luis_Potosi|0
1249|22.145|-101.037|San_Luis_Potosi|0
3935|22.145|-101.016|San_Luis_Potosi|0
555|22.146|-100.991|San_Luis_Potosi|0
556|22.148|-101.014|San_Luis_Potosi|0
865|22.148|-100.98|San_Luis_Potosi|0
1247|22.149|-100.952|San_Luis_Potosi|0
3140|22.15|-100.991|San_Luis_Potosi|0
1449|22.151|-100.999|San_Luis_Potosi|0
2685|22.151|-100.974|San_Luis_Potosi|0
2558|22.152|-100.977|San_Luis_Potosi|0
753|22.153|-100.922|San_Luis_Potosi|0
558|22.153|-100.897|San_Luis_Potosi|0
1817|22.156|-101.017|San_Luis_Potosi|0
1899|22.158|-100.998|San_Luis_Potosi|0
1077|22.161|-100.979|San_Luis_Potosi|0
1160|22.167|-101.001|San_Luis_Potosi|0
1863|22.167|-100.973|San_Luis_Potosi|0
559|22.167|-100.957|San_Luis_Potosi|0
1274|22.179|-101.017|San_Luis_Potosi|0
2267|22.182|-100.973|San_Luis_Potosi|0
3879|22.185|-97.835|Veracruz|1
1928|22.186|-100.945|San_Luis_Potosi|0
2184|22.191|-100.999|San_Luis_Potosi|0
